model,run,seed,epochs_trained,best_epoch,best_f1_score,best_train_loss,best_val_loss,final_f1_score,final_train_loss,final_val_loss,total_training_time_seconds,total_training_time_formatted
microsoft__deberta-v3-large,1,42,4,4,0.7086214148804023,0.1584101178098556,0.4701369268198808,0.7086214148804023,0.1584101178098556,0.4701369268198808,181.7258696556092,0:03:02
microsoft__deberta-v3-large,2,43,4,4,0.7228468424167206,0.1506219820314368,0.4614610566447178,0.7228468424167206,0.1506219820314368,0.4614610566447178,186.68001103401184,0:03:07
microsoft__deberta-v3-large,3,44,4,3,0.718328319625347,0.2506338253963825,0.4583890276650588,0.7125818347034033,0.1556144533462302,0.470347560942173,181.9934864044189,0:03:02
microsoft__deberta-v3-large,4,45,4,4,0.7056286398657846,0.1510039543689683,0.4579504821449518,0.7056286398657846,0.1510039543689683,0.4579504821449518,184.79722785949707,0:03:05
microsoft__deberta-v3-large,5,46,4,4,0.7161436251838179,0.1522275731400695,0.4759232134868701,0.7161436251838179,0.1522275731400695,0.4759232134868701,185.32609033584595,0:03:05
microsoft__deberta-v3-large,6,47,4,4,0.7162271253757448,0.151385766129161,0.4509277908752362,0.7162271253757448,0.151385766129161,0.4509277908752362,186.2401432991028,0:03:06
microsoft__deberta-v3-large,7,48,4,3,0.6985680982864594,0.2429703089386918,0.4678890897581975,0.6954197789812482,0.1514399552414583,0.4842433572436372,184.31055974960327,0:03:04
microsoft__deberta-v3-large,8,49,4,4,0.6885983176155961,0.1556403929757517,0.4808986050387223,0.6885983176155961,0.1556403929757517,0.4808986050387223,183.542706489563,0:03:04
microsoft__deberta-v3-large,9,50,4,4,0.7083025338261572,0.1490647698384384,0.5158074752738079,0.7083025338261572,0.1490647698384384,0.5158074752738079,186.35048460960388,0:03:06
microsoft__deberta-v3-large,10,51,4,3,0.704294598191861,0.2541180155131706,0.4420993986229102,0.7036535193918828,0.160959223501904,0.4477071159829696,182.9888596534729,0:03:03
microsoft__deberta-v3-large,11,52,4,4,0.7134639913549173,0.1631715872953104,0.471162810921669,0.7134639913549173,0.1631715872953104,0.471162810921669,182.44420671463013,0:03:02
microsoft__deberta-v3-large,12,53,4,4,0.6937899350061842,0.1511413388300773,0.4969444231440623,0.6937899350061842,0.1511413388300773,0.4969444231440623,183.3656134605408,0:03:03
microsoft__deberta-v3-large,13,54,4,3,0.7007171517877855,0.2264021423666976,0.5056417528539896,0.6947464984082156,0.1356651939798233,0.5231446921825409,184.5163786411285,0:03:05
microsoft__deberta-v3-large,14,55,4,4,0.7012456782774609,0.1504348862136519,0.4929437947769959,0.7012456782774609,0.1504348862136519,0.4929437947769959,183.69317412376404,0:03:04
microsoft__deberta-v3-large,15,56,4,4,0.6999130529627273,0.1433257199823856,0.4785065042475859,0.6999130529627273,0.1433257199823856,0.4785065042475859,184.6233961582184,0:03:05
microsoft__deberta-v3-large,16,57,4,4,0.6798234255139953,0.1481545136071914,0.5088562654952208,0.6798234255139953,0.1481545136071914,0.5088562654952208,184.7842230796814,0:03:05
microsoft__deberta-v3-large,17,58,4,4,0.7304827950179502,0.1575526803038841,0.4248726076136033,0.7304827950179502,0.1575526803038841,0.4248726076136033,184.1503858566284,0:03:04
microsoft__deberta-v3-large,18,59,4,4,0.688119490432427,0.149173479657187,0.4907811122636,0.688119490432427,0.149173479657187,0.4907811122636,184.00612425804127,0:03:04
microsoft__deberta-v3-large,19,60,4,3,0.7159982531688145,0.2462645933725113,0.4490799431999524,0.7158735589069092,0.1539120091082051,0.4583834409713745,184.13206458091736,0:03:04
microsoft__deberta-v3-large,20,61,4,4,0.7078076177597975,0.151619978379025,0.5305457587043444,0.7078076177597975,0.151619978379025,0.5305457587043444,181.8641808032989,0:03:02
microsoft__deberta-v3-large,21,62,4,4,0.6977780731959331,0.1460622160933738,0.501823948075374,0.6977780731959331,0.1460622160933738,0.501823948075374,184.957834482193,0:03:05
microsoft__deberta-v3-large,22,63,4,4,0.7217237126680437,0.1448131737320922,0.4452262899527947,0.7217237126680437,0.1448131737320922,0.4452262899527947,184.72469925880432,0:03:05
microsoft__deberta-v3-large,23,64,4,4,0.6943272028142924,0.144256642218246,0.504569641004006,0.6943272028142924,0.144256642218246,0.504569641004006,183.55641889572144,0:03:04
microsoft__deberta-v3-large,24,65,4,4,0.7359982423411601,0.1526139307940422,0.4446832711497943,0.7359982423411601,0.1526139307940422,0.4446832711497943,183.0437004566193,0:03:03
microsoft__deberta-v3-large,25,66,4,4,0.6902453531514393,0.1586146389329156,0.5051176585257053,0.6902453531514393,0.1586146389329156,0.5051176585257053,186.8211987018585,0:03:07
microsoft__deberta-v3-large,26,67,4,4,0.7319092536603754,0.1430804874574722,0.4647051251182953,0.7319092536603754,0.1430804874574722,0.4647051251182953,183.85242176055908,0:03:04
microsoft__deberta-v3-large,27,68,4,4,0.7365082179024279,0.1626895000768262,0.4397404380142689,0.7365082179024279,0.1626895000768262,0.4397404380142689,183.4405539035797,0:03:03
microsoft__deberta-v3-large,28,69,4,4,0.6763902423729085,0.1513333047718502,0.5460160120079914,0.6763902423729085,0.1513333047718502,0.5460160120079914,184.0715403556824,0:03:04
microsoft__deberta-v3-large,29,70,4,3,0.6717205741353224,0.2568535580364771,0.505750180532535,0.6700247552895199,0.1622071100702119,0.5065179392695427,186.0168917179108,0:03:06
microsoft__deberta-v3-large,30,71,4,3,0.7203820427188097,0.2546048247536948,0.43538201227784157,0.7172524735873422,0.16139349293743455,0.44346848626931507,186.20392441749573,0:03:06
