model,run,seed,epochs_trained,best_epoch,best_f1_score,best_train_loss,best_val_loss,final_f1_score,final_train_loss,final_val_loss,total_training_time_seconds,total_training_time_formatted
answerdotai__ModernBERT-large,1,42,4,4,0.6937557764847987,0.0347774194900033,0.493848850329717,0.6937557764847987,0.0347774194900033,0.493848850329717,294.21996450424194,0:04:54
answerdotai__ModernBERT-large,2,43,4,4,0.7120198139626631,0.0360526539125414,0.5015028367439905,0.7120198139626631,0.0360526539125414,0.5015028367439905,291.1001079082489,0:04:51
answerdotai__ModernBERT-large,3,44,4,4,0.6984789712337391,0.0371517815280619,0.4806633715828259,0.6984789712337391,0.0371517815280619,0.4806633715828259,286.47218346595764,0:04:46
answerdotai__ModernBERT-large,4,45,4,4,0.6944663965346629,0.0331321137004293,0.5140971131622791,0.6944663965346629,0.0331321137004293,0.5140971131622791,285.86328125,0:04:46
answerdotai__ModernBERT-large,5,46,4,4,0.6893686023011611,0.036480778037722,0.5222051938374838,0.6893686023011611,0.036480778037722,0.5222051938374838,288.0580985546112,0:04:48
answerdotai__ModernBERT-large,6,47,4,3,0.7157399197047989,0.1054932257637035,0.4549257420003414,0.7135217770290764,0.0341972705236701,0.4647852766017119,289.8425371646881,0:04:50
answerdotai__ModernBERT-large,7,48,4,4,0.7067221340527765,0.0370985264456722,0.5227934624999762,0.7067221340527765,0.0370985264456722,0.5227934624999762,291.4370560646057,0:04:51
answerdotai__ModernBERT-large,8,49,4,4,0.6879182774248095,0.0362827005297985,0.5067523494362831,0.6879182774248095,0.0362827005297985,0.5067523494362831,286.3219542503357,0:04:46
answerdotai__ModernBERT-large,9,50,4,3,0.6743549795684705,0.1082781615212213,0.536323569715023,0.6717211638150987,0.0374753532151496,0.5547008762756983,287.5730195045471,0:04:48
answerdotai__ModernBERT-large,10,51,4,4,0.6968548018879832,0.0382125750184059,0.4733086215953032,0.6968548018879832,0.0382125750184059,0.4733086215953032,289.82143926620483,0:04:50
answerdotai__ModernBERT-large,11,52,4,2,0.6809420070547684,0.3159218617649965,0.4982958398759365,0.6766588590185031,0.0355326289441003,0.5308632962405682,288.4783089160919,0:04:48
answerdotai__ModernBERT-large,12,53,4,4,0.6858516992444589,0.0412122524386748,0.4925210165480773,0.6858516992444589,0.0412122524386748,0.4925210165480773,287.3622257709503,0:04:47
answerdotai__ModernBERT-large,13,54,4,4,0.6638235549850494,0.030554921322957,0.5759039210776488,0.6638235549850494,0.030554921322957,0.5759039210776488,289.7485411167145,0:04:50
answerdotai__ModernBERT-large,14,55,4,4,0.6621100124919218,0.0346924433116476,0.5323479237655798,0.6621100124919218,0.0346924433116476,0.5323479237655798,287.299113035202,0:04:47
answerdotai__ModernBERT-large,15,56,4,4,0.6617469335152325,0.03548424315184,0.5538334846496582,0.6617469335152325,0.03548424315184,0.5538334846496582,290.2449550628662,0:04:50
answerdotai__ModernBERT-large,16,57,4,4,0.6791383887273965,0.0395379376402774,0.5206651700039705,0.6791383887273965,0.0395379376402774,0.5206651700039705,290.4847128391266,0:04:50
answerdotai__ModernBERT-large,17,58,4,4,0.7133147977666576,0.0340666442914584,0.4743434581905603,0.7133147977666576,0.0340666442914584,0.4743434581905603,287.8491473197937,0:04:48
answerdotai__ModernBERT-large,18,59,4,4,0.6732005503598074,0.041420595482165,0.5424848546584448,0.6732005503598074,0.041420595482165,0.5424848546584448,290.71528005599976,0:04:51
answerdotai__ModernBERT-large,19,60,4,4,0.7104462161113533,0.0356232794651458,0.464230602607131,0.7104462161113533,0.0356232794651458,0.464230602607131,286.11702156066895,0:04:46
answerdotai__ModernBERT-large,20,61,4,4,0.6794765032609557,0.0384860888101853,0.5641160638382038,0.6794765032609557,0.0384860888101853,0.5641160638382038,289.5027844905853,0:04:50
answerdotai__ModernBERT-large,21,62,4,4,0.6925647434067773,0.0343232448212802,0.5117342459658781,0.6925647434067773,0.0343232448212802,0.5117342459658781,289.9862425327301,0:04:50
answerdotai__ModernBERT-large,22,63,4,3,0.6994500101106328,0.1072759228476951,0.5045668898771206,0.6985996166708032,0.0357567200133966,0.5163991861045361,286.1698372364044,0:04:46
answerdotai__ModernBERT-large,23,64,4,4,0.6792281217952222,0.0407210815438004,0.5565396913637718,0.6792281217952222,0.0407210815438004,0.5565396913637718,292.0179033279419,0:04:52
answerdotai__ModernBERT-large,24,65,4,4,0.6933105056181167,0.0346111530589676,0.538585739210248,0.6933105056181167,0.0346111530589676,0.538585739210248,289.06517481803894,0:04:49
answerdotai__ModernBERT-large,25,66,4,3,0.6967204998657499,0.1176029256609983,0.4866768444577853,0.6913925374699396,0.0386779424951,0.4982139381269614,290.3667116165161,0:04:50
answerdotai__ModernBERT-large,26,67,4,3,0.6750763957860085,0.113469281948583,0.5211109332740307,0.6704717517987009,0.0396421329703095,0.5380070606867472,287.6136283874512,0:04:48
answerdotai__ModernBERT-large,27,68,4,4,0.7231848176520536,0.0341278204131265,0.4626747059325377,0.7231848176520536,0.0341278204131265,0.4626747059325377,288.1301522254944,0:04:48
answerdotai__ModernBERT-large,28,69,4,4,0.6938613685859162,0.0339043331765678,0.5347782714913288,0.6938613685859162,0.0339043331765678,0.5347782714913288,286.56497049331665,0:04:47
answerdotai__ModernBERT-large,29,70,4,4,0.6600645782757342,0.0323789808032817,0.5631546179453532,0.6600645782757342,0.0323789808032817,0.5631546179453532,291.9967510700226,0:04:52
answerdotai__ModernBERT-large,30,71,4,3,0.6877630886485883,0.10148779151224813,0.48909811427195865,0.6873902118919692,0.036831676905844796,0.5042394585907459,288.48208570480347,0:04:48
